"year","lifehistory","iteration","Rest","SigmaR","Fscen","Lyears","Nsamp","Rich","max_grad","variable","estimate","sd"
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"LN_R0",9.99999,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_peak",42,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Selex_shape",5.1,NA
18,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB0",22725.95,NA
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSB",43701.6,145.096
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Recruit",21931.4,221.794
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SPR",0.9474211,0.000153016
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"F",0.00564146,1.83042e-05
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Depletion",0.961492,0.0021602
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"SSBmsy",13073.2,NA
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"MSY",2614.05,NA
19,"short_slow",1,"R_unadjusted","Deterministic","F1","L100","perfect",FALSE,0.0128484,"Fmsy",0.122338,NA
