"year","lifehistory","iteration","Rest","SigmaR","Fscen","variable","true"
27,"short_slow",1,"om","Deterministic","F1","SSB",42855.4
27,"short_slow",1,"om","Deterministic","F1","Recruit",21883.3
27,"short_slow",1,"om","Deterministic","F1","SPR",0.857311
27,"short_slow",1,"om","Deterministic","F1","F",0.0164312
27,"short_slow",1,"om","Deterministic","F1","Depletion",0.942866
27,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
27,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
27,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
27,"short_slow",1,"om","Deterministic","F1","LN_R0",10
27,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
27,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
27,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
28,"short_slow",1,"om","Deterministic","F1","SSB",42341.5
28,"short_slow",1,"om","Deterministic","F1","Recruit",21853.3
28,"short_slow",1,"om","Deterministic","F1","SPR",0.789244
28,"short_slow",1,"om","Deterministic","F1","F",0.0257159
28,"short_slow",1,"om","Deterministic","F1","Depletion",0.931559
28,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
28,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
28,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
28,"short_slow",1,"om","Deterministic","F1","LN_R0",10
28,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
28,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
28,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
29,"short_slow",1,"om","Deterministic","F1","SSB",41443.6
29,"short_slow",1,"om","Deterministic","F1","Recruit",21799.4
29,"short_slow",1,"om","Deterministic","F1","SPR",0.72921
29,"short_slow",1,"om","Deterministic","F1","F",0.034883
29,"short_slow",1,"om","Deterministic","F1","Depletion",0.911804
29,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
29,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
29,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
29,"short_slow",1,"om","Deterministic","F1","LN_R0",10
29,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
29,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
29,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
30,"short_slow",1,"om","Deterministic","F1","SSB",40211.9
30,"short_slow",1,"om","Deterministic","F1","Recruit",21722.1
30,"short_slow",1,"om","Deterministic","F1","SPR",0.675972
30,"short_slow",1,"om","Deterministic","F1","F",0.0439212
30,"short_slow",1,"om","Deterministic","F1","Depletion",0.884706
30,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
30,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
30,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
30,"short_slow",1,"om","Deterministic","F1","LN_R0",10
30,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
30,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
30,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
31,"short_slow",1,"om","Deterministic","F1","SSB",38708
31,"short_slow",1,"om","Deterministic","F1","Recruit",21621.7
31,"short_slow",1,"om","Deterministic","F1","SPR",0.628529
31,"short_slow",1,"om","Deterministic","F1","F",0.0528224
31,"short_slow",1,"om","Deterministic","F1","Depletion",0.851618
31,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
31,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
31,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
31,"short_slow",1,"om","Deterministic","F1","LN_R0",10
31,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
31,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
31,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
32,"short_slow",1,"om","Deterministic","F1","SSB",36998
32,"short_slow",1,"om","Deterministic","F1","Recruit",21499
32,"short_slow",1,"om","Deterministic","F1","SPR",0.586056
32,"short_slow",1,"om","Deterministic","F1","F",0.0615806
32,"short_slow",1,"om","Deterministic","F1","Depletion",0.813997
32,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
32,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
32,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
32,"short_slow",1,"om","Deterministic","F1","LN_R0",10
32,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
32,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
32,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
33,"short_slow",1,"om","Deterministic","F1","SSB",35147.1
33,"short_slow",1,"om","Deterministic","F1","Recruit",21354.5
33,"short_slow",1,"om","Deterministic","F1","SPR",0.547875
33,"short_slow",1,"om","Deterministic","F1","F",0.0701917
33,"short_slow",1,"om","Deterministic","F1","Depletion",0.773274
33,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
33,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
33,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
33,"short_slow",1,"om","Deterministic","F1","LN_R0",10
33,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
33,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
33,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
34,"short_slow",1,"om","Deterministic","F1","SSB",33214.7
34,"short_slow",1,"om","Deterministic","F1","Recruit",21188.9
34,"short_slow",1,"om","Deterministic","F1","SPR",0.513417
34,"short_slow",1,"om","Deterministic","F1","F",0.0786525
34,"short_slow",1,"om","Deterministic","F1","Depletion",0.73076
34,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
34,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
34,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
34,"short_slow",1,"om","Deterministic","F1","LN_R0",10
34,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
34,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
34,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
35,"short_slow",1,"om","Deterministic","F1","SSB",31252.6
35,"short_slow",1,"om","Deterministic","F1","Recruit",21002.9
35,"short_slow",1,"om","Deterministic","F1","SPR",0.482209
35,"short_slow",1,"om","Deterministic","F1","F",0.0869611
35,"short_slow",1,"om","Deterministic","F1","Depletion",0.687591
35,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
35,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
35,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
35,"short_slow",1,"om","Deterministic","F1","LN_R0",10
35,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
35,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
35,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
36,"short_slow",1,"om","Deterministic","F1","SSB",29303.4
36,"short_slow",1,"om","Deterministic","F1","Recruit",20797.4
36,"short_slow",1,"om","Deterministic","F1","SPR",0.453849
36,"short_slow",1,"om","Deterministic","F1","F",0.0951164
36,"short_slow",1,"om","Deterministic","F1","Depletion",0.644707
36,"short_slow",1,"om","Deterministic","F1","SSBmsy",13073.3
36,"short_slow",1,"om","Deterministic","F1","MSY",2614.07
36,"short_slow",1,"om","Deterministic","F1","Fmsy",0.122338
36,"short_slow",1,"om","Deterministic","F1","LN_R0",10
36,"short_slow",1,"om","Deterministic","F1","Selex_peak",42
36,"short_slow",1,"om","Deterministic","F1","Selex_shape",5.1
36,"short_slow",1,"om","Deterministic","F1","SSB0",22726.15
37,"short_slow",1,"om","Deterministic","F1","SSB",27400.6
37,"short_slow",1,"om","Deterministic","F1","Recruit",20573.2
37,"short_slow",1,"om","Deterministic","F1","SPR",0.427996
37,"short_slow",1,"om","Deterministic","F1","F",0.103118
